number,timestamp,blobGasUsed,excessBlobGas,blobGasPrice
22431189,2025-05-07T10:27:23.000Z,393216,7602176,4
22431190,2025-05-07T10:27:35.000Z,0,7208960,4
22431191,2025-05-07T10:27:47.000Z,0,6422528,3
22431192,2025-05-07T10:27:59.000Z,0,5636096,3
22431193,2025-05-07T10:28:23.000Z,1179648,4849664,2
22431194,2025-05-07T10:28:47.000Z,786432,5242880,2
22431195,2025-05-07T10:28:59.000Z,0,5242880,2
22431196,2025-05-07T10:29:11.000Z,0,4456448,2
22431197,2025-05-07T10:29:47.000Z,393216,3670016,2
22431198,2025-05-07T10:29:59.000Z,0,3276800,1
22431199,2025-05-07T10:30:11.000Z,1048576,2490368,1
22431200,2025-05-07T10:30:23.000Z,1179648,2752512,1
22431201,2025-05-07T10:30:35.000Z,0,3145728,1
22431202,2025-05-07T10:30:47.000Z,0,2359296,1
22431203,2025-05-07T10:30:59.000Z,0,1572864,1
22431204,2025-05-07T10:31:11.000Z,1179648,786432,1
22431205,2025-05-07T10:31:23.000Z,1048576,1179648,1
22431206,2025-05-07T10:31:35.000Z,0,1441792,1
22431207,2025-05-07T10:31:47.000Z,0,655360,1
22431208,2025-05-07T10:31:59.000Z,786432,0,1
22431209,2025-05-07T10:32:11.000Z,393216,0,1
22431210,2025-05-07T10:32:23.000Z,0,0,1
22431211,2025-05-07T10:32:35.000Z,0,0,1
22431212,2025-05-07T10:32:59.000Z,1179648,0,1
22431213,2025-05-07T10:33:11.000Z,131072,393216,1
22431214,2025-05-07T10:33:23.000Z,655360,0,1
22431215,2025-05-07T10:33:35.000Z,0,0,1
22431216,2025-05-07T10:33:47.000Z,393216,0,1
22431217,2025-05-07T10:33:59.000Z,0,0,1
22431218,2025-05-07T10:34:11.000Z,786432,0,1
22431219,2025-05-07T10:34:23.000Z,0,0,1
22431220,2025-05-07T10:34:35.000Z,786432,0,1
22431221,2025-05-07T10:34:47.000Z,393216,0,1
22431222,2025-05-07T10:34:59.000Z,393216,0,1
22431223,2025-05-07T10:35:11.000Z,655360,0,1
22431224,2025-05-07T10:35:23.000Z,0,0,1
22431225,2025-05-07T10:35:35.000Z,131072,0,1
22431226,2025-05-07T10:35:47.000Z,0,0,1
22431227,2025-05-07T10:35:59.000Z,524288,0,1
22431228,2025-05-07T10:36:11.000Z,0,0,1
22431229,2025-05-07T10:36:23.000Z,655360,0,1
22431230,2025-05-07T10:36:35.000Z,655360,0,1
22431231,2025-05-07T10:36:47.000Z,917504,0,1
22431232,2025-05-07T10:36:59.000Z,0,131072,1
22431233,2025-05-07T10:37:11.000Z,0,0,1
22431234,2025-05-07T10:37:23.000Z,1048576,0,1
22431235,2025-05-07T10:37:35.000Z,393216,262144,1
22431236,2025-05-07T10:37:47.000Z,0,0,1
22431237,2025-05-07T10:37:59.000Z,0,0,1
22431238,2025-05-07T10:38:11.000Z,0,0,1
22431239,2025-05-07T10:38:23.000Z,655360,0,1
22431240,2025-05-07T10:38:35.000Z,0,0,1
22431241,2025-05-07T10:38:47.000Z,0,0,1
22431242,2025-05-07T10:38:59.000Z,1048576,0,1
22431243,2025-05-07T10:39:11.000Z,655360,262144,1
22431244,2025-05-07T10:39:23.000Z,131072,131072,1
22431245,2025-05-07T10:39:35.000Z,0,0,1
22431246,2025-05-07T10:39:47.000Z,655360,0,1
22431247,2025-05-07T10:39:59.000Z,917504,0,1
22431248,2025-05-07T10:40:11.000Z,393216,131072,1
22431249,2025-05-07T10:40:23.000Z,0,0,1
22431250,2025-05-07T10:40:35.000Z,0,0,1
22431251,2025-05-07T10:40:59.000Z,655360,0,1
22431252,2025-05-07T10:41:11.000Z,655360,0,1
22431253,2025-05-07T10:41:23.000Z,0,0,1
22431254,2025-05-07T10:41:35.000Z,0,0,1
22431255,2025-05-07T10:41:47.000Z,655360,0,1
22431256,2025-05-07T10:41:59.000Z,0,0,1
22431257,2025-05-07T10:42:23.000Z,393216,0,1
22431258,2025-05-07T10:42:35.000Z,131072,0,1
22431259,2025-05-07T10:42:47.000Z,1048576,0,1
22431260,2025-05-07T10:42:59.000Z,0,262144,1
22431261,2025-05-07T10:43:11.000Z,0,0,1
22431262,2025-05-07T10:43:23.000Z,655360,0,1
22431263,2025-05-07T10:43:35.000Z,0,0,1
22431264,2025-05-07T10:43:47.000Z,1048576,0,1
22431265,2025-05-07T10:43:59.000Z,0,262144,1
22431266,2025-05-07T10:44:23.000Z,655360,0,1
22431267,2025-05-07T10:44:35.000Z,0,0,1
22431268,2025-05-07T10:44:47.000Z,0,0,1
22431269,2025-05-07T10:45:11.000Z,393216,0,1
22431270,2025-05-07T10:45:23.000Z,786432,0,1
22431271,2025-05-07T10:45:35.000Z,393216,0,1
22431272,2025-05-07T10:45:47.000Z,131072,0,1
22431273,2025-05-07T10:45:59.000Z,0,0,1
22431274,2025-05-07T10:46:11.000Z,0,0,1
22431275,2025-05-07T10:46:23.000Z,1179648,0,1
22431276,2025-05-07T10:46:35.000Z,0,393216,1
22431277,2025-05-07T10:46:47.000Z,0,0,1
22431278,2025-05-07T10:46:59.000Z,0,0,1
22431279,2025-05-07T10:47:11.000Z,0,0,1
22431280,2025-05-07T10:47:23.000Z,1179648,0,1
22431281,2025-05-07T10:47:35.000Z,0,393216,1
22431282,2025-05-07T10:47:47.000Z,0,0,1
22431283,2025-05-07T10:47:59.000Z,393216,0,1
22431284,2025-05-07T10:48:11.000Z,0,0,1
22431285,2025-05-07T10:48:23.000Z,655360,0,1
22431286,2025-05-07T10:48:35.000Z,393216,0,1
22431287,2025-05-07T10:48:47.000Z,131072,0,1
22431288,2025-05-07T10:48:59.000Z,655360,0,1
22431289,2025-05-07T10:49:11.000Z,0,0,1
22431290,2025-05-07T10:49:23.000Z,0,0,1
22431291,2025-05-07T10:49:35.000Z,0,0,1
22431292,2025-05-07T10:49:47.000Z,1048576,0,1
22431293,2025-05-07T10:49:59.000Z,0,262144,1
22431294,2025-05-07T10:50:11.000Z,524288,0,1
22431295,2025-05-07T10:50:35.000Z,1179648,0,1
22431296,2025-05-07T10:50:47.000Z,0,393216,1
22431297,2025-05-07T10:50:59.000Z,0,0,1
22431298,2025-05-07T10:51:23.000Z,1179648,0,1
22431299,2025-05-07T10:51:47.000Z,917504,393216,1
22431300,2025-05-07T10:51:59.000Z,655360,524288,1
22431301,2025-05-07T10:52:11.000Z,0,393216,1
22431302,2025-05-07T10:52:23.000Z,393216,0,1
22431303,2025-05-07T10:52:35.000Z,393216,0,1
22431304,2025-05-07T10:52:47.000Z,655360,0,1
22431305,2025-05-07T10:52:59.000Z,0,0,1
22431306,2025-05-07T10:53:11.000Z,0,0,1
22431307,2025-05-07T10:53:23.000Z,131072,0,1
22431308,2025-05-07T10:53:35.000Z,0,0,1
22431309,2025-05-07T10:53:47.000Z,393216,0,1
22431310,2025-05-07T10:53:59.000Z,655360,0,1
22431311,2025-05-07T10:54:11.000Z,0,0,1
22431312,2025-05-07T10:54:23.000Z,655360,0,1
22431313,2025-05-07T10:54:47.000Z,655360,0,1
22431314,2025-05-07T10:54:59.000Z,393216,0,1
22431315,2025-05-07T10:55:11.000Z,0,0,1
22431316,2025-05-07T10:55:23.000Z,786432,0,1
22431317,2025-05-07T10:55:35.000Z,655360,0,1
22431318,2025-05-07T10:55:47.000Z,655360,0,1
22431319,2025-05-07T10:55:59.000Z,131072,0,1
22431320,2025-05-07T10:56:11.000Z,393216,0,1
22431321,2025-05-07T10:56:23.000Z,0,0,1
22431322,2025-05-07T10:56:35.000Z,0,0,1
22431323,2025-05-07T10:56:47.000Z,786432,0,1
22431324,2025-05-07T10:56:59.000Z,0,0,1
22431325,2025-05-07T10:57:11.000Z,0,0,1
22431326,2025-05-07T10:57:23.000Z,393216,0,1
22431327,2025-05-07T10:57:35.000Z,1179648,0,1
22431328,2025-05-07T10:57:47.000Z,0,393216,1
22431329,2025-05-07T10:57:59.000Z,0,0,1
22431330,2025-05-07T10:58:11.000Z,0,0,1
22431331,2025-05-07T10:58:23.000Z,786432,0,1
22431332,2025-05-07T10:58:47.000Z,393216,0,1
22431333,2025-05-07T10:58:59.000Z,0,0,1
22431334,2025-05-07T10:59:11.000Z,0,0,1
22431335,2025-05-07T10:59:23.000Z,655360,0,1
22431336,2025-05-07T10:59:35.000Z,786432,0,1
22431337,2025-05-07T10:59:47.000Z,0,0,1
22431338,2025-05-07T10:59:59.000Z,917504,0,1
22431339,2025-05-07T11:00:11.000Z,1179648,131072,1
22431340,2025-05-07T11:00:23.000Z,786432,524288,1
22431341,2025-05-07T11:00:35.000Z,0,524288,1
22431342,2025-05-07T11:00:47.000Z,0,0,1
22431343,2025-05-07T11:00:59.000Z,0,0,1
22431344,2025-05-07T11:01:11.000Z,393216,0,1
22431345,2025-05-07T11:01:23.000Z,655360,0,1
22431346,2025-05-07T11:01:35.000Z,0,0,1
22431347,2025-05-07T11:01:47.000Z,0,0,1
22431348,2025-05-07T11:01:59.000Z,524288,0,1
22431349,2025-05-07T11:02:11.000Z,786432,0,1
22431350,2025-05-07T11:02:23.000Z,0,0,1
22431351,2025-05-07T11:02:35.000Z,524288,0,1
22431352,2025-05-07T11:02:47.000Z,0,0,1
22431353,2025-05-07T11:02:59.000Z,0,0,1
22431354,2025-05-07T11:03:11.000Z,786432,0,1
22431355,2025-05-07T11:03:23.000Z,0,0,1
22431356,2025-05-07T11:03:35.000Z,0,0,1
22431357,2025-05-07T11:03:47.000Z,0,0,1
22431358,2025-05-07T11:03:59.000Z,1048576,0,1
22431359,2025-05-07T11:04:11.000Z,393216,262144,1
22431360,2025-05-07T11:04:23.000Z,0,0,1
22431361,2025-05-07T11:04:35.000Z,0,0,1
22431362,2025-05-07T11:04:47.000Z,393216,0,1
22431363,2025-05-07T11:04:59.000Z,655360,0,1
22431364,2025-05-07T11:05:11.000Z,131072,0,1
22431365,2025-05-07T11:05:23.000Z,0,0,1
22431366,2025-05-07T11:05:35.000Z,0,0,1
22431367,2025-05-07T11:05:47.000Z,655360,0,1
22431368,2025-05-07T11:05:59.000Z,655360,0,1
22431369,2025-05-07T11:06:11.000Z,393216,0,1
22431370,2025-05-07T11:06:23.000Z,393216,0,1
22431371,2025-05-07T11:06:35.000Z,0,0,1
22431372,2025-05-07T11:06:47.000Z,0,0,1
22431373,2025-05-07T11:06:59.000Z,1048576,0,1
22431374,2025-05-07T11:07:11.000Z,393216,262144,1
22431375,2025-05-07T11:07:23.000Z,0,0,1
22431376,2025-05-07T11:07:35.000Z,0,0,1
22431377,2025-05-07T11:07:47.000Z,0,0,1
22431378,2025-05-07T11:07:59.000Z,655360,0,1
22431379,2025-05-07T11:08:11.000Z,0,0,1
22431380,2025-05-07T11:08:23.000Z,0,0,1
22431381,2025-05-07T11:08:35.000Z,524288,0,1
22431382,2025-05-07T11:08:47.000Z,1048576,0,1
22431383,2025-05-07T11:08:59.000Z,524288,262144,1
22431384,2025-05-07T11:09:11.000Z,0,0,1
22431385,2025-05-07T11:09:23.000Z,655360,0,1
22431386,2025-05-07T11:09:35.000Z,0,0,1
22431387,2025-05-07T11:09:47.000Z,0,0,1
22431388,2025-05-07T11:09:59.000Z,131072,0,1
22431389,2025-05-07T11:10:11.000Z,1048576,0,1
22431390,2025-05-07T11:10:23.000Z,524288,262144,1
22431391,2025-05-07T11:10:47.000Z,1179648,0,1
22431392,2025-05-07T11:10:59.000Z,0,393216,1
22431393,2025-05-07T11:11:11.000Z,393216,0,1
22431394,2025-05-07T11:11:23.000Z,655360,0,1
22431395,2025-05-07T11:11:35.000Z,0,0,1
22431396,2025-05-07T11:11:47.000Z,0,0,1
22431397,2025-05-07T11:11:59.000Z,0,0,1
22431398,2025-05-07T11:12:11.000Z,0,0,1
22431399,2025-05-07T11:12:23.000Z,1048576,0,1
22431400,2025-05-07T11:12:35.000Z,0,262144,1
22431401,2025-05-07T11:12:47.000Z,1179648,0,1
22431402,2025-05-07T11:12:59.000Z,655360,393216,1
22431403,2025-05-07T11:13:11.000Z,1179648,262144,1
22431404,2025-05-07T11:13:23.000Z,524288,655360,1
22431405,2025-05-07T11:13:35.000Z,0,393216,1
22431406,2025-05-07T11:13:47.000Z,0,0,1
22431407,2025-05-07T11:13:59.000Z,655360,0,1
22431408,2025-05-07T11:14:11.000Z,131072,0,1
22431409,2025-05-07T11:14:23.000Z,0,0,1
22431410,2025-05-07T11:14:35.000Z,1048576,0,1
22431411,2025-05-07T11:14:47.000Z,131072,262144,1
22431412,2025-05-07T11:14:59.000Z,0,0,1
22431413,2025-05-07T11:15:11.000Z,131072,0,1
22431414,2025-05-07T11:15:23.000Z,655360,0,1
22431415,2025-05-07T11:15:35.000Z,524288,0,1
22431416,2025-05-07T11:15:47.000Z,0,0,1
22431417,2025-05-07T11:15:59.000Z,1179648,0,1
22431418,2025-05-07T11:16:11.000Z,0,393216,1
22431419,2025-05-07T11:16:23.000Z,0,0,1
22431420,2025-05-07T11:16:35.000Z,0,0,1
22431421,2025-05-07T11:16:47.000Z,0,0,1
22431422,2025-05-07T11:16:59.000Z,1179648,0,1
22431423,2025-05-07T11:17:11.000Z,393216,393216,1
22431424,2025-05-07T11:17:23.000Z,0,0,1
22431425,2025-05-07T11:17:35.000Z,0,0,1
22431426,2025-05-07T11:17:47.000Z,917504,0,1
22431427,2025-05-07T11:18:11.000Z,1048576,131072,1
22431428,2025-05-07T11:18:47.000Z,1048576,393216,1
22431429,2025-05-07T11:18:59.000Z,655360,655360,1
22431430,2025-05-07T11:19:23.000Z,1048576,524288,1
22431431,2025-05-07T11:19:47.000Z,1179648,786432,1
22431432,2025-05-07T11:20:11.000Z,655360,1179648,1
22431433,2025-05-07T11:20:23.000Z,1048576,1048576,1
22431434,2025-05-07T11:20:35.000Z,131072,1310720,1
22431435,2025-05-07T11:20:59.000Z,393216,655360,1
22431436,2025-05-07T11:21:11.000Z,655360,262144,1
22431437,2025-05-07T11:21:23.000Z,393216,131072,1
22431438,2025-05-07T11:21:35.000Z,0,0,1
22431439,2025-05-07T11:21:47.000Z,0,0,1
22431440,2025-05-07T11:21:59.000Z,131072,0,1
22431441,2025-05-07T11:22:11.000Z,655360,0,1
22431442,2025-05-07T11:22:35.000Z,786432,0,1
22431443,2025-05-07T11:22:47.000Z,393216,0,1
22431444,2025-05-07T11:22:59.000Z,0,0,1
22431445,2025-05-07T11:23:11.000Z,1179648,0,1
22431446,2025-05-07T11:23:23.000Z,0,393216,1
22431447,2025-05-07T11:23:35.000Z,0,0,1
22431448,2025-05-07T11:23:47.000Z,393216,0,1
22431449,2025-05-07T11:23:59.000Z,786432,0,1
22431450,2025-05-07T11:24:11.000Z,786432,0,1
22431451,2025-05-07T11:24:23.000Z,786432,0,1
22431452,2025-05-07T11:24:35.000Z,0,0,1
22431453,2025-05-07T11:24:47.000Z,393216,0,1
22431454,2025-05-07T11:24:59.000Z,0,0,1
22431455,2025-05-07T11:25:11.000Z,655360,0,1
22431456,2025-05-07T11:25:23.000Z,0,0,1
22431457,2025-05-07T11:25:35.000Z,0,0,1
22431458,2025-05-07T11:25:47.000Z,0,0,1
22431459,2025-05-07T11:25:59.000Z,0,0,1
22431460,2025-05-07T11:26:11.000Z,1048576,0,1
22431461,2025-05-07T11:26:23.000Z,1179648,262144,1
22431462,2025-05-07T11:26:35.000Z,0,655360,1
22431463,2025-05-07T11:26:47.000Z,0,0,1
22431464,2025-05-07T11:26:59.000Z,1048576,0,1
22431465,2025-05-07T11:27:11.000Z,0,262144,1
22431466,2025-05-07T11:27:23.000Z,0,0,1
22431467,2025-05-07T11:27:35.000Z,1048576,0,1
22431468,2025-05-07T11:27:47.000Z,1048576,262144,1
22431469,2025-05-07T11:28:11.000Z,393216,524288,1
22431470,2025-05-07T11:28:23.000Z,0,131072,1
22431471,2025-05-07T11:28:35.000Z,131072,0,1
22431472,2025-05-07T11:28:47.000Z,1179648,0,1
22431473,2025-05-07T11:28:59.000Z,0,393216,1
22431474,2025-05-07T11:29:11.000Z,524288,0,1
22431475,2025-05-07T11:29:23.000Z,0,0,1
22431476,2025-05-07T11:29:35.000Z,0,0,1
22431477,2025-05-07T11:29:47.000Z,0,0,1
22431478,2025-05-07T11:29:59.000Z,655360,0,1
22431479,2025-05-07T11:30:11.000Z,0,0,1
22431480,2025-05-07T11:30:23.000Z,393216,0,1
22431481,2025-05-07T11:30:35.000Z,0,0,1
22431482,2025-05-07T11:30:47.000Z,0,0,1
22431483,2025-05-07T11:30:59.000Z,917504,0,1
22431484,2025-05-07T11:31:11.000Z,0,131072,1
22431485,2025-05-07T11:31:23.000Z,786432,0,1
22431486,2025-05-07T11:31:35.000Z,655360,0,1
22431487,2025-05-07T11:31:47.000Z,786432,0,1
22431488,2025-05-07T11:31:59.000Z,0,0,1
22431489,2025-05-07T11:32:11.000Z,0,0,1
22431490,2025-05-07T11:32:23.000Z,655360,0,1
22431491,2025-05-07T11:32:35.000Z,524288,0,1
22431492,2025-05-07T11:32:47.000Z,0,0,1
22431493,2025-05-07T11:32:59.000Z,1179648,0,1
22431494,2025-05-07T11:33:11.000Z,131072,393216,1
22431495,2025-05-07T11:33:23.000Z,0,0,1
22431496,2025-05-07T11:33:35.000Z,0,0,1
22431497,2025-05-07T11:33:47.000Z,1048576,0,1
22431498,2025-05-07T11:33:59.000Z,786432,262144,1
22431499,2025-05-07T11:34:11.000Z,655360,262144,1
22431500,2025-05-07T11:34:23.000Z,0,131072,1
22431501,2025-05-07T11:34:35.000Z,655360,0,1
22431502,2025-05-07T11:34:47.000Z,0,0,1
22431503,2025-05-07T11:34:59.000Z,0,0,1
22431504,2025-05-07T11:35:11.000Z,393216,0,1
22431505,2025-05-07T11:35:23.000Z,1048576,0,1
22431506,2025-05-07T11:35:35.000Z,0,262144,1
22431507,2025-05-07T11:35:47.000Z,0,0,1
22431508,2025-05-07T11:35:59.000Z,0,0,1
22431509,2025-05-07T11:36:11.000Z,0,0,1
22431510,2025-05-07T11:36:23.000Z,1048576,0,1
22431511,2025-05-07T11:36:35.000Z,262144,262144,1
22431512,2025-05-07T11:36:47.000Z,0,0,1
